date,time,category,sub_category,count,priority,department,days_ago
2026-01-02,14:36,New Budget Proposal,Operational Expenses (OpEx),1,Medium,Budget Department,
2025-02-10,14:09,IT Support,Internet/Network Connectivity Issue,1,Medium,IT Department,
2025-02-27,14:56,Asset Check Out,Laptop,1,High,Asset Department,
2025-06-27,10:16,Others,General Inquiry,1,Medium,IT Department,
2025-05-23,09:00,IT Support,Hardware Troubleshooting,1,Medium,IT Department,
2025-12-01,09:36,IT Support,Data Backup/Restore,1,High,IT Department,
2025-01-30,17:27,IT Support,Technical Assistance,1,High,IT Department,
2025-05-06,09:24,IT Support,Data Backup/Restore,1,Medium,IT Department,
2025-03-28,14:04,Asset Check In,Monitor,1,Medium,Asset Department,
2025-12-05,09:17,IT Support,Software Installation/Update,1,Low,IT Department,
2025-12-03,15:50,Asset Check Out,Laptop,1,Low,Asset Department,
2025-03-31,14:03,New Budget Proposal,Capital Expenses (CapEx),1,Medium,Budget Department,
2025-02-05,15:56,IT Support,Virus/Malware Check,1,Critical,IT Department,
2025-03-27,17:25,Asset Check In,Monitor,1,Critical,Asset Department,
2025-11-28,14:50,IT Support,Virus/Malware Check,1,Low,IT Department,
2025-01-28,14:32,Others,,1,High,IT Department,
2025-09-17,15:59,IT Support,Data Backup/Restore,1,High,IT Department,
2025-06-18,10:20,Others,,1,Medium,IT Department,
2026-01-02,14:03,Asset Check In,Monitor,1,High,Asset Department,
2025-10-20,20:53,New Budget Proposal,Operational Expenses (OpEx),1,Critical,Budget Department,
2025-01-31,14:23,IT Support,Technical Assistance,1,Low,IT Department,
2025-06-13,14:14,Asset Check Out,Laptop,1,High,Asset Department,
2025-01-02,12:23,IT Support,Hardware Troubleshooting,1,Critical,IT Department,
2025-01-30,10:30,IT Support,Internet/Network Connectivity Issue,1,Critical,IT Department,
2025-12-29,10:13,IT Support,Virus/Malware Check,1,Low,IT Department,
2025-12-15,09:39,Others,General Inquiry,1,High,IT Department,
2025-05-16,09:55,IT Support,Data Backup/Restore,1,High,IT Department,
2025-01-17,15:05,IT Support,Software Installation/Update,1,Low,IT Department,
2025-12-16,14:17,IT Support,Technical Assistance,1,Critical,IT Department,
2025-02-06,14:32,New Budget Proposal,Operational Expenses (OpEx),1,Low,Budget Department,
2025-04-24,10:54,IT Support,Virus/Malware Check,1,Low,IT Department,
2025-09-24,15:29,Asset Check Out,Keyboard,1,High,Asset Department,
2025-08-12,09:15,New Budget Proposal,Capital Expenses (CapEx),1,Medium,Budget Department,
2025-01-23,13:15,New Budget Proposal,Capital Expenses (CapEx),1,High,Budget Department,
2025-12-18,15:38,Asset Check Out,Keyboard,1,Low,Asset Department,
2025-03-20,15:00,New Budget Proposal,Operational Expenses (OpEx),1,High,Budget Department,
2025-04-23,15:02,Others,General Inquiry,1,Low,IT Department,
2025-02-04,12:26,IT Support,Hardware Troubleshooting,1,Low,IT Department,
2025-05-08,10:45,IT Support,Technical Assistance,1,Critical,IT Department,
2025-07-25,09:56,Asset Check In,Monitor,1,Low,Asset Department,
2025-04-29,15:31,New Budget Proposal,Operational Expenses (OpEx),1,Critical,Budget Department,
2025-03-28,15:17,New Budget Proposal,Operational Expenses (OpEx),1,Low,Budget Department,
2025-03-27,14:50,IT Support,Technical Assistance,1,Medium,IT Department,
2025-12-03,14:23,IT Support,Technical Assistance,1,Critical,IT Department,
2025-12-12,10:15,IT Support,Data Backup/Restore,1,Low,IT Department,
2025-01-10,14:31,Asset Check Out,Keyboard,1,Medium,Asset Department,
2025-03-31,14:29,Asset Check Out,Laptop,1,High,Asset Department,
2025-03-13,09:29,New Budget Proposal,Operational Expenses (OpEx),1,High,Budget Department,
2025-01-28,15:14,Asset Check Out,Laptop,1,Medium,Asset Department,
2025-09-24,09:25,IT Support,Software Installation/Update,1,Medium,IT Department,
2025-03-28,16:05,Asset Check Out,Keyboard,1,High,Asset Department,
2025-02-21,14:26,IT Support,Hardware Troubleshooting,1,High,IT Department,
2025-09-02,15:29,New Budget Proposal,Capital Expenses (CapEx),1,Low,Budget Department,
2025-03-10,10:03,IT Support,Software Installation/Update,1,Low,IT Department,
2026-01-02,10:59,IT Support,Virus/Malware Check,1,Low,IT Department,
2025-09-25,15:54,New Budget Proposal,Operational Expenses (OpEx),1,Critical,Budget Department,
2025-05-26,09:59,IT Support,Virus/Malware Check,1,Medium,IT Department,
2025-01-22,14:30,IT Support,Technical Assistance,1,High,IT Department,
2025-05-20,15:44,Others,General Inquiry,1,High,IT Department,
2025-08-14,15:59,Asset Check In,Monitor,1,Critical,Asset Department,
2025-03-13,14:08,New Budget Proposal,Operational Expenses (OpEx),1,Low,Budget Department,
2025-04-15,15:39,IT Support,Internet/Network Connectivity Issue,1,High,IT Department,
2025-12-18,09:42,IT Support,Hardware Troubleshooting,1,Medium,IT Department,
2025-01-08,10:25,Others,,1,Medium,IT Department,
2025-02-06,14:36,IT Support,Technical Assistance,1,Low,IT Department,
2025-12-09,11:58,Others,,1,Critical,IT Department,
2025-12-01,14:17,New Budget Proposal,Operational Expenses (OpEx),1,Critical,Budget Department,
2025-01-14,08:21,IT Support,Internet/Network Connectivity Issue,1,Medium,IT Department,
2025-11-28,10:26,IT Support,Technical Assistance,1,Medium,IT Department,
2025-01-15,09:26,Asset Check Out,Keyboard,1,Critical,Asset Department,
2025-06-18,16:38,Others,,1,Low,IT Department,
2025-01-27,15:51,Others,,1,Low,IT Department,
2025-03-24,14:00,IT Support,Data Backup/Restore,1,Medium,IT Department,
2025-05-30,15:17,IT Support,Internet/Network Connectivity Issue,1,Critical,IT Department,
2025-03-10,17:41,IT Support,Technical Assistance,1,Critical,IT Department,
2025-06-23,10:50,Others,General Inquiry,1,Critical,IT Department,
2025-01-24,13:32,IT Support,Software Installation/Update,1,Low,IT Department,
2025-09-23,15:26,New Budget Proposal,Capital Expenses (CapEx),1,Low,Budget Department,
2025-03-20,19:32,IT Support,Internet/Network Connectivity Issue,1,Critical,IT Department,
2025-02-17,09:50,IT Support,Software Installation/Update,1,Medium,IT Department,
2025-12-12,17:07,IT Support,Data Backup/Restore,1,Medium,IT Department,
2025-02-14,12:06,IT Support,Technical Assistance,1,Critical,IT Department,
2025-04-25,14:39,Asset Check Out,Laptop,1,Medium,Asset Department,
2025-10-22,15:02,IT Support,Hardware Troubleshooting,1,Low,IT Department,
2025-12-29,09:51,IT Support,Software Installation/Update,1,Low,IT Department,
2025-02-10,14:05,New Budget Proposal,Capital Expenses (CapEx),1,Low,Budget Department,
2025-08-29,15:25,IT Support,Software Installation/Update,1,Low,IT Department,
2025-12-12,11:10,New Budget Proposal,Operational Expenses (OpEx),1,High,Budget Department,
2025-01-22,09:26,Asset Check Out,Keyboard,1,High,Asset Department,
2025-01-16,13:00,IT Support,Internet/Network Connectivity Issue,1,Low,IT Department,
2025-01-24,10:53,IT Support,Virus/Malware Check,1,Medium,IT Department,
2025-09-30,15:29,Asset Check Out,Keyboard,1,Low,Asset Department,
2025-06-26,10:43,Asset Check Out,Laptop,1,High,Asset Department,
2025-12-03,09:37,IT Support,Technical Assistance,1,Medium,IT Department,
2025-01-09,10:22,Others,General Inquiry,1,Medium,IT Department,
2025-10-10,14:24,IT Support,Virus/Malware Check,1,High,IT Department,
2025-01-16,18:01,Others,,1,Low,IT Department,
2025-03-27,09:07,Others,General Inquiry,1,Medium,IT Department,
2025-01-24,09:12,Asset Check Out,Laptop,1,Low,Asset Department,
2025-10-23,16:41,Others,General Inquiry,1,Critical,IT Department,
2025-10-17,14:44,IT Support,Technical Assistance,1,Critical,IT Department,
2025-04-02,14:51,Asset Check In,Monitor,1,Medium,Asset Department,
2025-01-03,15:14,IT Support,Technical Assistance,1,Medium,IT Department,
2025-12-15,09:50,Others,General Inquiry,1,Low,IT Department,
2025-03-24,10:37,New Budget Proposal,Operational Expenses (OpEx),1,High,Budget Department,
2025-04-24,15:57,New Budget Proposal,Capital Expenses (CapEx),1,Low,Budget Department,
2025-06-24,09:45,Asset Check Out,Laptop,1,High,Asset Department,
2025-06-04,17:30,IT Support,Data Backup/Restore,1,Critical,IT Department,
2025-12-05,14:04,IT Support,Software Installation/Update,1,High,IT Department,
2025-02-04,10:18,IT Support,Virus/Malware Check,1,Critical,IT Department,
2025-12-11,14:06,IT Support,Hardware Troubleshooting,1,High,IT Department,
2025-12-05,15:55,Asset Check In,Monitor,1,Critical,Asset Department,
2025-12-04,08:14,IT Support,Data Backup/Restore,1,High,IT Department,
2025-11-03,14:31,New Budget Proposal,Capital Expenses (CapEx),1,High,Budget Department,
2025-12-23,10:29,IT Support,Data Backup/Restore,1,High,IT Department,
2025-01-14,14:38,New Budget Proposal,Operational Expenses (OpEx),1,Low,Budget Department,
2025-03-27,09:07,Others,,1,High,IT Department,
2025-06-06,15:53,IT Support,Internet/Network Connectivity Issue,1,High,IT Department,
2025-01-02,14:17,Others,,1,Medium,IT Department,
2026-01-07,09:36,IT Support,Hardware Troubleshooting,1,High,IT Department,
2025-02-07,09:09,Others,General Inquiry,1,Medium,IT Department,
2025-11-24,17:35,Asset Check Out,Keyboard,1,Low,Asset Department,
2025-12-15,09:54,IT Support,Internet/Network Connectivity Issue,1,Critical,IT Department,
2025-05-08,13:46,IT Support,Data Backup/Restore,1,High,IT Department,
2025-04-29,10:32,IT Support,Software Installation/Update,1,Critical,IT Department,
2025-12-03,14:55,Others,General Inquiry,1,Medium,IT Department,
2025-03-26,15:10,Asset Check Out,Laptop,1,Critical,Asset Department,
2025-11-28,08:37,Others,,1,High,IT Department,
2025-10-31,09:01,Others,General Inquiry,1,Critical,IT Department,
2025-11-04,09:10,Asset Check Out,Keyboard,1,Low,Asset Department,
2025-04-23,15:24,Others,,1,Critical,IT Department,
2025-01-27,10:33,New Budget Proposal,Capital Expenses (CapEx),1,High,Budget Department,
2026-01-02,14:42,Asset Check Out,Keyboard,1,Medium,Asset Department,
2025-04-16,15:18,IT Support,Technical Assistance,1,Medium,IT Department,
2025-01-31,09:57,New Budget Proposal,Capital Expenses (CapEx),1,High,Budget Department,
2025-02-26,09:05,New Budget Proposal,Operational Expenses (OpEx),1,Low,Budget Department,
2025-01-20,09:45,IT Support,Data Backup/Restore,1,Critical,IT Department,
2025-12-05,09:08,Asset Check Out,Keyboard,1,Low,Asset Department,
2025-02-10,15:52,IT Support,Virus/Malware Check,1,High,IT Department,
2025-01-10,15:39,Others,General Inquiry,1,High,IT Department,
2025-05-16,09:45,IT Support,Hardware Troubleshooting,1,High,IT Department,
2025-12-22,16:56,New Budget Proposal,Capital Expenses (CapEx),1,Medium,Budget Department,
2025-01-06,09:11,IT Support,Technical Assistance,1,High,IT Department,
2025-01-24,11:26,Others,,1,High,IT Department,
2025-03-31,15:16,IT Support,Software Installation/Update,1,Critical,IT Department,
2025-09-12,11:37,IT Support,Data Backup/Restore,1,Medium,IT Department,
2025-01-10,09:38,IT Support,Internet/Network Connectivity Issue,1,Low,IT Department,
2025-12-05,10:19,New Budget Proposal,Capital Expenses (CapEx),1,Medium,Budget Department,
2025-03-21,09:27,IT Support,Virus/Malware Check,1,High,IT Department,
2025-01-08,09:13,Others,,1,Low,IT Department,
2025-08-11,14:26,Others,,1,High,IT Department,
2025-11-27,09:02,IT Support,Software Installation/Update,1,Low,IT Department,
2025-10-13,10:58,IT Support,Virus/Malware Check,1,Medium,IT Department,
2025-05-20,14:05,Others,General Inquiry,1,High,IT Department,
2025-03-26,15:39,Asset Check Out,Laptop,1,Low,Asset Department,
2026-01-05,10:40,Others,,1,High,IT Department,
2025-07-16,15:09,Others,General Inquiry,1,Critical,IT Department,
2025-12-19,10:53,Others,General Inquiry,1,High,IT Department,
2025-01-08,10:57,IT Support,Internet/Network Connectivity Issue,1,Low,IT Department,
2025-11-24,17:33,IT Support,Data Backup/Restore,1,Medium,IT Department,
2025-11-11,09:07,IT Support,Data Backup/Restore,1,Medium,IT Department,
2025-08-07,08:14,New Budget Proposal,Capital Expenses (CapEx),1,High,Budget Department,
2025-12-11,10:27,IT Support,Technical Assistance,1,Low,IT Department,
2025-12-10,12:12,IT Support,Internet/Network Connectivity Issue,1,Critical,IT Department,
2025-01-27,10:31,Asset Check Out,Keyboard,1,High,Asset Department,
2025-11-11,14:59,Asset Check In,Monitor,1,Low,Asset Department,
2025-04-14,08:18,IT Support,Software Installation/Update,1,Critical,IT Department,
2025-02-06,10:04,Others,,1,Critical,IT Department,
2025-03-21,15:00,Others,General Inquiry,1,High,IT Department,
2025-05-21,15:26,New Budget Proposal,Capital Expenses (CapEx),1,Critical,Budget Department,
2025-09-03,15:42,IT Support,Software Installation/Update,1,High,IT Department,
2025-10-09,09:01,Asset Check In,Monitor,1,High,Asset Department,
2025-05-26,10:27,Asset Check In,Monitor,1,Low,Asset Department,
2025-12-15,09:41,New Budget Proposal,Operational Expenses (OpEx),1,High,Budget Department,
2025-01-07,15:58,Asset Check In,Monitor,1,High,Asset Department,
2025-01-02,14:33,Asset Check In,Monitor,1,Critical,Asset Department,
2025-09-22,15:15,IT Support,Hardware Troubleshooting,1,High,IT Department,
2025-07-04,15:38,IT Support,Data Backup/Restore,1,Low,IT Department,
2025-12-16,10:11,IT Support,Data Backup/Restore,1,High,IT Department,
2025-01-24,14:20,New Budget Proposal,Operational Expenses (OpEx),1,Medium,Budget Department,
2025-12-16,16:50,New Budget Proposal,Capital Expenses (CapEx),1,Low,Budget Department,
2025-11-14,14:40,Others,General Inquiry,1,Medium,IT Department,
2025-09-12,12:17,Asset Check Out,Laptop,1,Medium,Asset Department,
2025-01-14,09:24,IT Support,Data Backup/Restore,1,High,IT Department,
2025-01-20,10:17,Asset Check Out,Laptop,1,Low,Asset Department,
2025-03-26,12:20,IT Support,Technical Assistance,1,Critical,IT Department,
2025-03-12,10:57,IT Support,Virus/Malware Check,1,Medium,IT Department,
2025-12-10,17:38,Others,General Inquiry,1,Low,IT Department,
2025-12-19,17:09,IT Support,Internet/Network Connectivity Issue,1,Critical,IT Department,
2025-06-30,09:26,Asset Check In,Monitor,1,High,Asset Department,
2025-12-03,08:20,IT Support,Hardware Troubleshooting,1,Low,IT Department,
2025-03-03,10:06,Asset Check Out,Laptop,1,Medium,Asset Department,
2025-08-06,15:02,IT Support,Internet/Network Connectivity Issue,1,Medium,IT Department,
2025-01-22,09:22,Asset Check In,Monitor,1,Low,Asset Department,
2025-12-01,13:09,Others,General Inquiry,1,Low,IT Department,
2025-07-24,15:19,IT Support,Technical Assistance,1,High,IT Department,
2025-01-21,15:25,New Budget Proposal,Operational Expenses (OpEx),1,Critical,Budget Department,
2025-09-26,18:55,Others,,1,Low,IT Department,
2025-09-01,08:49,New Budget Proposal,Operational Expenses (OpEx),1,Medium,Budget Department,
2025-12-02,10:31,Others,General Inquiry,1,Medium,IT Department,
2025-12-09,13:29,Others,,1,Critical,IT Department,
2025-06-27,14:54,IT Support,Data Backup/Restore,1,Critical,IT Department,
2025-01-16,10:34,IT Support,Hardware Troubleshooting,1,Critical,IT Department,
2025-07-08,09:11,IT Support,Virus/Malware Check,1,High,IT Department,
2025-03-19,15:58,IT Support,Data Backup/Restore,1,Medium,IT Department,
2025-02-11,16:40,Others,,1,Medium,IT Department,
2025-01-15,10:14,Others,,1,High,IT Department,
2025-08-27,15:09,Asset Check In,Monitor,1,High,Asset Department,
2025-11-03,15:16,New Budget Proposal,Operational Expenses (OpEx),1,High,Budget Department,
2025-06-11,09:12,IT Support,Hardware Troubleshooting,1,Low,IT Department,
2025-09-08,16:43,IT Support,Internet/Network Connectivity Issue,1,Low,IT Department,
2025-12-12,09:22,IT Support,Internet/Network Connectivity Issue,1,Critical,IT Department,
2025-06-30,10:26,Asset Check Out,Keyboard,1,High,Asset Department,
2025-10-10,12:41,IT Support,Hardware Troubleshooting,1,Critical,IT Department,
2025-03-25,10:48,IT Support,Internet/Network Connectivity Issue,1,Critical,IT Department,
2025-01-17,09:12,Asset Check In,Monitor,1,High,Asset Department,
2025-09-24,17:42,IT Support,Internet/Network Connectivity Issue,1,High,IT Department,
2025-06-02,10:04,IT Support,Internet/Network Connectivity Issue,1,Critical,IT Department,
2025-01-17,09:44,Asset Check In,Monitor,1,Medium,Asset Department,
2025-06-03,14:37,Asset Check Out,Laptop,1,Low,Asset Department,
2025-11-24,14:29,Asset Check Out,Keyboard,1,High,Asset Department,
2025-12-16,14:08,IT Support,Internet/Network Connectivity Issue,1,Critical,IT Department,
2025-01-28,10:06,IT Support,Data Backup/Restore,1,High,IT Department,
2025-01-27,09:34,IT Support,Technical Assistance,1,Medium,IT Department,
2025-01-09,15:21,Others,General Inquiry,1,High,IT Department,
2025-07-22,10:19,Asset Check Out,Keyboard,1,High,Asset Department,
2025-03-26,10:52,IT Support,Technical Assistance,1,Low,IT Department,
2025-11-26,15:27,Others,General Inquiry,1,Medium,IT Department,
2025-11-04,09:59,Asset Check Out,Keyboard,1,Medium,Asset Department,
2025-06-03,10:06,Others,,1,Critical,IT Department,
2025-03-21,10:07,IT Support,Software Installation/Update,1,High,IT Department,
2025-01-10,15:55,New Budget Proposal,Operational Expenses (OpEx),1,Critical,Budget Department,
2025-07-21,14:58,Asset Check Out,Laptop,1,Low,Asset Department,
2025-07-21,09:41,Asset Check Out,Laptop,1,Medium,Asset Department,
2025-09-11,14:44,IT Support,Software Installation/Update,1,Low,IT Department,
2025-01-08,10:38,Others,General Inquiry,1,Medium,IT Department,
2025-01-24,14:30,Asset Check Out,Laptop,1,High,Asset Department,
2025-06-23,10:14,IT Support,Software Installation/Update,1,Low,IT Department,
2025-11-13,16:52,IT Support,Data Backup/Restore,1,Medium,IT Department,
2025-03-24,14:52,IT Support,Internet/Network Connectivity Issue,1,Medium,IT Department,
2025-02-12,14:58,Asset Check Out,Keyboard,1,Low,Asset Department,
2025-11-27,10:09,New Budget Proposal,Capital Expenses (CapEx),1,Critical,Budget Department,
2025-12-05,09:05,Asset Check Out,Laptop,1,Low,Asset Department,
2025-12-04,14:06,Asset Check Out,Keyboard,1,Medium,Asset Department,
2025-07-11,15:55,Others,General Inquiry,1,Medium,IT Department,
2025-12-04,14:48,IT Support,Technical Assistance,1,Medium,IT Department,
2025-12-16,14:45,New Budget Proposal,Operational Expenses (OpEx),1,High,Budget Department,
2025-06-24,11:48,Asset Check Out,Laptop,1,Medium,Asset Department,
2025-02-03,09:34,New Budget Proposal,Capital Expenses (CapEx),1,High,Budget Department,
2025-01-07,09:29,IT Support,Hardware Troubleshooting,1,Low,IT Department,
2025-05-07,09:54,IT Support,Virus/Malware Check,1,High,IT Department,
2025-05-09,14:28,IT Support,Technical Assistance,1,Medium,IT Department,
2025-01-29,10:39,IT Support,Software Installation/Update,1,Medium,IT Department,
2025-01-02,09:49,New Budget Proposal,Capital Expenses (CapEx),1,Critical,Budget Department,
2025-12-17,17:58,New Budget Proposal,Operational Expenses (OpEx),1,High,Budget Department,
2025-10-13,14:11,IT Support,Technical Assistance,1,Medium,IT Department,
2025-05-14,10:30,New Budget Proposal,Capital Expenses (CapEx),1,High,Budget Department,
2025-01-28,14:00,IT Support,Hardware Troubleshooting,1,High,IT Department,
2025-11-25,09:01,IT Support,Data Backup/Restore,1,High,IT Department,
2025-03-17,14:25,Asset Check Out,Keyboard,1,Critical,Asset Department,
2025-11-06,14:13,IT Support,Software Installation/Update,1,Low,IT Department,
2025-01-24,14:25,Asset Check Out,Keyboard,1,High,Asset Department,
2025-01-22,15:29,Asset Check Out,Keyboard,1,High,Asset Department,
2025-06-30,15:36,IT Support,Software Installation/Update,1,Medium,IT Department,
2025-03-28,09:47,IT Support,Technical Assistance,1,High,IT Department,
2025-05-14,09:41,IT Support,Software Installation/Update,1,Medium,IT Department,
2025-12-01,15:48,IT Support,Virus/Malware Check,1,Medium,IT Department,
2025-03-20,09:43,IT Support,Data Backup/Restore,1,Critical,IT Department,
2025-01-20,10:53,New Budget Proposal,Capital Expenses (CapEx),1,High,Budget Department,
2025-05-08,15:28,IT Support,Hardware Troubleshooting,1,Medium,IT Department,
2025-03-27,09:27,IT Support,Data Backup/Restore,1,Low,IT Department,
2025-03-26,09:02,Asset Check Out,Keyboard,1,Critical,Asset Department,
2025-08-05,09:41,IT Support,Technical Assistance,1,Medium,IT Department,
2025-09-23,10:26,IT Support,Software Installation/Update,1,Critical,IT Department,
2025-03-26,17:27,IT Support,Virus/Malware Check,1,Critical,IT Department,
2025-06-20,10:23,IT Support,Hardware Troubleshooting,1,Low,IT Department,
2025-09-01,15:42,IT Support,Virus/Malware Check,1,High,IT Department,
2025-12-04,14:09,New Budget Proposal,Operational Expenses (OpEx),1,Critical,Budget Department,
2025-06-19,16:44,IT Support,Virus/Malware Check,1,Low,IT Department,
2025-01-20,15:01,Asset Check In,Monitor,1,Critical,Asset Department,
2025-01-13,10:19,New Budget Proposal,Capital Expenses (CapEx),1,Low,Budget Department,
2026-01-07,09:11,Asset Check Out,Laptop,1,Critical,Asset Department,
2025-03-14,10:31,New Budget Proposal,Capital Expenses (CapEx),1,Medium,Budget Department,
2025-01-30,09:53,IT Support,Software Installation/Update,1,High,IT Department,
2025-06-13,14:37,Others,,1,Critical,IT Department,
2025-09-10,10:57,New Budget Proposal,Operational Expenses (OpEx),1,Low,Budget Department,
2025-03-31,15:15,New Budget Proposal,Operational Expenses (OpEx),1,Medium,Budget Department,
2025-04-10,14:06,Others,,1,Critical,IT Department,
2025-01-23,14:18,IT Support,Internet/Network Connectivity Issue,1,Medium,IT Department,
2025-01-10,09:03,Others,,1,Low,IT Department,
2025-12-15,10:01,IT Support,Virus/Malware Check,1,Medium,IT Department,
2025-12-11,14:03,Asset Check Out,Keyboard,1,Medium,Asset Department,
2025-12-09,10:28,Others,General Inquiry,1,Low,IT Department,
2025-02-27,15:48,Others,,1,Medium,IT Department,
2025-03-05,10:02,Asset Check Out,Laptop,1,High,Asset Department,
2025-01-08,15:47,IT Support,Virus/Malware Check,1,Medium,IT Department,
2025-01-14,10:02,Others,General Inquiry,1,Low,IT Department,
2025-10-06,09:51,IT Support,Technical Assistance,1,Medium,IT Department,
2025-12-10,14:15,IT Support,Software Installation/Update,1,Medium,IT Department,
2025-05-23,10:41,IT Support,Technical Assistance,1,Low,IT Department,
2025-12-12,10:16,Others,General Inquiry,1,Medium,IT Department,
2025-01-07,14:34,Asset Check In,Monitor,1,Medium,Asset Department,
2025-01-14,15:56,New Budget Proposal,Operational Expenses (OpEx),1,Low,Budget Department,
2025-04-01,10:00,Asset Check Out,Keyboard,1,Low,Asset Department,
2025-11-03,10:18,Asset Check Out,Laptop,1,High,Asset Department,
2025-02-03,14:34,IT Support,Technical Assistance,1,Medium,IT Department,
2025-02-24,09:26,IT Support,Technical Assistance,1,Low,IT Department,
2025-11-13,14:49,Others,,1,Low,IT Department,
2025-12-11,14:32,IT Support,Virus/Malware Check,1,Low,IT Department,
2025-09-02,09:40,Asset Check Out,Keyboard,1,Medium,Asset Department,
2025-06-16,09:23,Asset Check Out,Keyboard,1,Low,Asset Department,
2025-01-03,09:46,Others,,1,High,IT Department,
2025-12-18,13:15,Others,,1,Medium,IT Department,
2025-01-10,09:44,IT Support,Internet/Network Connectivity Issue,1,Medium,IT Department,
2026-01-08,14:32,IT Support,Software Installation/Update,1,Low,IT Department,
2025-10-14,15:44,New Budget Proposal,Operational Expenses (OpEx),1,Critical,Budget Department,
2025-01-08,09:51,Others,,1,High,IT Department,
2025-01-06,09:55,IT Support,Hardware Troubleshooting,1,High,IT Department,
2025-12-09,15:40,Asset Check Out,Keyboard,1,Critical,Asset Department,
2025-03-25,14:23,IT Support,Technical Assistance,1,Medium,IT Department,
2025-02-28,09:07,IT Support,Technical Assistance,1,Low,IT Department,
2026-01-02,09:53,New Budget Proposal,Capital Expenses (CapEx),1,Medium,Budget Department,
2026-01-08,10:51,IT Support,Internet/Network Connectivity Issue,1,Medium,IT Department,
2025-11-26,08:35,Asset Check Out,Keyboard,1,Low,Asset Department,
